codfao;Ltclass;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
RJC;60;12761.68704;12249.7717;12962.56878;12293.87581;10361.15515;12753.35457;10640.70578;10264.18063;7634.338831;6729.947912;11217.26832;13889.54667;6755.679581;10378.42176;11976.535
RJC;61;11427.51318;10540.48008;9271.003791;8947.862876;9384.465112;11226.45949;6994.51266;9402.675242;13436.03504;14065.88783;8673.935635;6612.926253;8151.066468;12847.08177;10408.79475
RJC;62;10166.77233;7113.004307;12018.84326;11383.87421;10930.42428;10059.54457;8927.382726;13557.42106;6664.34998;9391.959748;7966.726788;14202.77558;5991.462791;8068.030261;8078.047573
RJC;63;9648.248038;11260.56037;9495.615217;8385.78317;7036.387842;12285.11268;8943.710674;9636.178837;6320.338806;10480.23386;7409.916949;4626.921003;12192.38648;6725.237228;11758.90042
RJC;64;8245.777646;9812.54148;7398.243105;8921.695803;8039.232766;9712.673716;6601.3345;7031.240736;5717.268503;7855.14101;10959.53057;7825.736304;3256.181355;11093.12825;8539.453372
RJC;65;5688.000532;6492.014672;8862.38448;9866.127217;8031.415502;9646.847029;10019.13666;6824.634636;9105.260818;6066.48658;11702.83471;10581.24589;10138.81465;8760.368608;34044.19052
RJC;66;9889.725244;6396.874945;9365.686181;8343.891226;11392.73996;8208.851923;8498.524629;7613.905971;4702.559353;4657.335058;4491.572916;7190.841972;9992.033951;11132.98905;6572.89056
RJC;67;5387.757028;7498.241988;8332.851862;6679.405163;6935.017659;8287.692868;6081.856383;5753.365377;8964.421743;4153.748459;4921.723071;5759.408667;5109.285548;5676.740492;5557.023576
RJC;68;8260.719352;9288.921494;6490.866156;7301.543347;9925.917181;8352.185267;8405.026296;7673.851684;8008.62552;12060.27645;7397.911727;7971.881291;7537.778309;11388.34213;8877.476163
RJC;69;9118.6258;8423.749867;10806.72214;8166.439395;6448.774238;7910.135048;5893.737375;7407.668306;5575.44172;9112.35302;7841.684166;10775.98993;7051.678168;8052.74466;6721.840096
RJC;70;7388.871723;11145.85145;5405.639953;10321.72967;5833.991081;7326.956999;7285.927927;6811.326096;7397.481333;6497.672089;5528.852488;5025.223605;6414.626433;9930.263345;6233.399537
RJC;71;7875.669892;10218.58604;8183.635387;8720.340583;6697.503121;7657.127442;8237.19568;6195.643787;10487.65392;10804.1134;8850.335497;5988.869588;5811.008113;8222.838525;5164.307109
RJC;72;8959.111315;7265.630398;6184.974645;7433.461319;6864.941019;7715.54784;7054.918008;5567.960965;8449.081276;8335.591702;8562.194554;5709.365763;11766.06283;7885.556887;11323.85423
RJC;73;6517.024093;10224.90221;6667.127421;9621.542869;5062.351946;6381.020051;5762.386728;7048.673817;6087.247376;6346.151014;6782.948825;6890.53373;8432.433354;12559.90595;5040.798959
RJC;74;8503.197083;7822.99084;10324.42301;9108.882907;5020.280688;6943.407748;6667.996387;3673.870736;5672.379812;11957.77618;5541.312178;6354.686756;3630.242195;5892.800396;8264.799859
RJC;75;4487.026511;8862.802719;7845.842547;9560.66928;5293.214587;7304.256264;7059.612141;10043.59964;4347.385739;5667.200085;6030.574974;8864.018164;6965.51645;6153.29572;9119.69599
RJC;76;6331.469954;6212.300211;6558.901155;10239.03594;4638.6741;6130.921533;5369.061243;5470.70032;6468.01306;6258.587412;7826.712348;8589.240399;6249.173343;7716.565095;10198.23729
RJC;77;3043.574758;4907.76308;9604.996693;7306.506301;5058.977746;5579.570867;4535.157011;5950.898897;3645.261737;3708.472627;9236.039246;5121.066611;7115.943504;8489.411935;9575.958295
RJC;78;6263.448414;9847.55836;4789.922865;9877.432183;3804.749626;5429.861388;4884.786551;2710.190047;2710.138964;6003.101238;6956.964028;5107.112383;3373.088569;8202.367516;8240.886264
RJC;79;3001.592872;8277.781608;4188.869616;6259.734082;3848.844189;4491.258583;4594.653654;4036.416133;3885.530135;8584.976542;5748.375668;4058.78023;3286.082576;8115.728989;7139.640678
